num,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京 朝阳区 来广营,Geek+,500-999人,C轮,智能硬件,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170327/150c6d785ad4bcb5006390d3e7a91cec53cfee4f0c403aad30545003d78c91fe_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘专员,王女士,30-40K·14薪,高级JAVA工程师
1,北京 朝阳区 北苑,闲徕互娱,1000-9999人,不需要融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/upload/avatar/20190724/a45f3840c5dbd50c82d9d013a95fe4ff726ceec5217046f2a0fc92caf7e99483_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,周女士,30-60K,Java架构师
2,北京 海淀区 中关村,爱奇艺,1000-9999人,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/upload/avatar/20190730/c3c83111f638316c5f2b94c94c3e86dc1ef2740447ec5c5be858b4188072127a_s.jpg?x-oss-process=image/resize,w_40,limit_0",研究员,张先生,25-40K,资深Java工程师
3,北京 海淀区 西北旺,软通动力,10000人以上,已上市,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190328/f90ec8f11039bef89c2dfe92ec4f6de3cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,赵女士,14-16K,百度java工程师
4,北京 朝阳区 三元桥,国美在线,10000人以上,已上市,互联网,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180503/7712f8918b13fd9b82277c7640004778e0b9b6919bbe8000960f09e3f6c4cf24_s.jpg?x-oss-process=image/resize,w_40,limit_0",研发经理,杨先生,18-35K·14薪,Java工程师
5,北京 海淀区 牡丹园,道达天际科技有限公司,20-99人,未融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/boss/avatar/avatar_15.png?x-oss-process=image/resize,w_40,limit_0",执行副总,周先生,9-15K,Java
6,北京 朝阳区 来广营,玖富,1000-9999人,D轮及以上,互联网金融,本科,3-5年,"https://img2.bosszhipin.com/mcs/useravatar/20151104/a82735e999055b8ccb78dacf4195c0d23800a1f5df425a52f290b98540eb748e_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,黄女士,15-25K·14薪,Java工程师
7,北京 海淀区 上地,金泰亚盛,100-499人,D轮及以上,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20161026/f09381bc27c7d5f2e2e4f66cc2b1069ed56e695561b237cab93c61e04f28e3b8_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,胡女士,10-15K,Java后端
8,北京 海淀区 五道口,北京红泰,10000人以上,D轮及以上,互联网,本科,5-10年,"https://img.bosszhipin.com/boss/avatar/avatar_13.png?x-oss-process=image/resize,w_40,limit_0",招聘者,解先生,25-35K,高级JAVA开发
