,IP,PORT,位置,匿名度,响应速度,最后验证时间,类型
0,39.98.251.78,3128,北京市北京市  阿里云,高匿名,0.4,2019-08-13 18:30:54,HTTP
1,114.234.80.116,9000,江苏省徐州市  电信,高匿名,2,2019-08-13 17:30:53,HTTP
2,112.111.117.113,9000,中国 福建省 三明市 联通,高匿名,1,2019-08-13 15:31:01,HTTP
3,115.28.148.192,8118,山东省青岛市 阿里云计算有限公司 阿里云,高匿名,2,2019-08-13 14:31:00,HTTP
4,117.90.4.202,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-13 13:30:59,HTTP
5,211.159.171.58,80,中国 北京市 北京市 联通,高匿名,2,2019-08-13 11:30:57,HTTP
6,222.162.172.38,8060,吉林省吉林市  联通,高匿名,0.6,2019-08-13 10:30:47,HTTP
7,125.110.113.250,9000,中国 浙江省 温州市 电信,高匿名,1,2019-08-13 09:31:00,HTTP
8,180.118.128.196,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-13 08:31:01,HTTP
9,175.44.150.113,9000,中国 福建省 三明市 联通,高匿名,1,2019-08-13 07:31:01,HTTP
10,117.90.137.95,9000,中国 江苏省 镇江市 电信,高匿名,1.0,2019-08-13 06:31:00,HTTP
11,117.90.2.66,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-13 05:30:55,HTTP
12,117.90.2.66,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-13 05:30:55,HTTP
13,175.44.148.176,9000,中国 福建省 三明市 联通,高匿名,0.3,2019-08-13 04:30:58,HTTP
14,180.118.128.62,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-13 03:31:01,HTTP
15,114.234.82.121,9000,江苏省徐州市  电信,高匿名,1,2019-08-13 02:30:59,HTTP
16,115.210.26.8,9000,浙江省金华市  电信,高匿名,2,2019-08-12 22:30:59,HTTP
17,182.34.21.64,9999,山东省烟台市  电信,高匿名,1,2019-08-12 21:31:00,HTTP
18,121.232.199.9,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-12 20:30:56,HTTP
19,112.85.168.48,9999,江苏省南通市  联通,高匿名,2,2019-08-12 19:30:53,HTTP
